No.,Ticker,Market Cap,Market_Cap,PE,Fwd_PE,PEG,PS,PB,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt_Eq,Debt_Eq,Gross_M,Oper_M,Profit_M,Earnings,Price,Change,Volume
1,A,36.53B,36.53,31.76,23.3,2.12,5.67,7.31,0.67%,11.50%,23.70%,14.70%,2.2,1.6,0.53,0,54.00%,21.60%,18.70%,May 24/a,125.13,2.23%,"2,583,888"
2,AAL,9.87B,9.87,,7.35,-,0.28,,,-3.50%,30.30%,-1.60%,0.8,0.7,-,-,57.90%,-4.20%,-6.80%,Apr 21/b,16.26,-2.93%,"33,865,621"
3,AAP,10.99B,10.99,19.09,11.62,1.25,1,3.63,3.30%,5.20%,18.80%,15.60%,1.2,0.3,0.33,0,44.80%,7.60%,5.60%,May 23/a,181.89,-7.23%,"1,914,604"
4,AAPL,2158.04B,2158.04,22.37,20.98,2.26,5.59,33.23,0.67%,28.90%,152.90%,50.00%,0.9,0.9,1.53,1.78,43.30%,30.90%,26.40%,Apr 28/a,137.59,0.17%,"135,982,406"
5,ABBV,268.22B,268.22,21.66,12.57,10.15,4.73,16.43,3.73%,8.50%,85.80%,17.90%,0.8,0.7,3.9,4.51,69.80%,32.70%,21.90%,Apr 29/b,151.01,-0.47%,"6,718,565"
6,ABC,31.19B,31.19,18.35,12.92,1.72,0.14,57.1,1.23%,3.00%,655.90%,24.30%,0.9,0.6,8.44,11.73,3.50%,1.10%,0.80%,May 04/b,150.18,0.54%,"2,238,221"
7,ABMD,9.89B,9.89,79.51,41.71,20.81,9.59,7.49,,9.80%,10.90%,12.50%,7,6.3,0,0,81.80%,14.10%,14.50%,Apr 28/b,235.75,-1.22%,"512,195"
8,ABT,194.83B,194.83,26.14,22.95,2.27,4.38,5.64,1.66%,10.40%,22.20%,13.50%,1.9,1.4,0.48,0.48,57.10%,20.70%,17.40%,Apr 20/b,113.24,0.71%,"4,461,898"
9,ACN,179.71B,179.71,27.88,22.83,2.2,3.17,8.53,1.40%,14.80%,32.00%,29.90%,1.2,1.2,0,0,32.30%,15.10%,11.30%,Mar 17/b,276.65,1.11%,"2,980,041"
10,ADBE,180.68B,180.68,39.64,24.78,2.78,11.19,13.71,,18.40%,34.00%,26.00%,1,1,0.26,0.3,88.00%,36.70%,29.90%,Mar 22/a,399.09,1.19%,"3,420,794"
11,ADI,81.87B,81.87,51.19,17.71,3.48,9.7,2.28,1.87%,3.50%,5.10%,3.40%,2.1,1.6,0.17,0.17,57.80%,16.30%,15.20%,May 18/b,162.44,0.93%,"3,966,192"
12,ADM,46.74B,46.74,15.51,14.15,2.11,0.52,2,1.90%,5.50%,13.70%,6.60%,1.4,0.8,0.37,0.55,7.00%,3.40%,3.40%,Apr 26/b,84,0.17%,"4,818,949"
13,ADP,86.61B,86.61,30.81,26.99,2.12,5.38,20.8,1.99%,4.80%,56.50%,29.40%,1,1,0.71,0.71,42.50%,22.70%,17.80%,Apr 27/b,208.64,0.87%,"2,640,221"
14,ADSK,39.10B,39.1,85.53,23.58,3.2,8.91,49.46,,6.20%,43.40%,15.80%,0.7,0.7,2.68,3.09,90.50%,14.10%,11.30%,May 26/a,191.41,-1.19%,"2,234,742"
15,AEE,23.79B,23.79,23.73,21.22,3.68,3.55,2.44,2.55%,2.90%,10.50%,5.00%,0.6,0.5,1.28,1.44,82.70%,20.10%,15.00%,May 06/b,92.64,0.17%,"2,039,827"
16,AEP,50.60B,50.6,19.13,18.87,3.08,2.96,2.12,3.13%,3.00%,11.70%,5.60%,0.6,0.5,1.29,1.56,68.40%,21.00%,15.40%,Apr 28/b,99.7,0.67%,"2,914,402"
17,AES,13.18B,13.18,,11.64,-,1.16,6.62,3.08%,-0.40%,-6.60%,-1.50%,1.1,0.9,8.16,9.18,22.70%,-1.30%,-1.30%,May 06/b,20.53,-0.68%,"5,687,471"
18,AFL,35.38B,35.38,9.04,10.22,2.32,1.64,1.21,2.90%,2.60%,12.50%,11.10%,-,-,0.26,0.26,-,24.30%,18.90%,Apr 27/a,55.09,-0.92%,"4,398,074"
19,AIG,43.95B,43.95,4.8,8.54,0.16,0.82,0.82,2.30%,1.60%,15.50%,11.70%,-,-,0.54,0.54,-,27.00%,18.20%,May 03/a,55.62,-3.94%,"8,945,498"
20,AIZ,9.41B,9.41,16.99,12.14,0.99,0.92,1.96,1.54%,3.70%,24.50%,9.50%,-,-,0.44,0.44,-,8.50%,13.20%,May 03/a,176.17,-2.37%,"604,654"
21,AJG,31.65B,31.65,34.01,17.77,3.27,3.73,3.6,1.32%,2.90%,11.30%,8.00%,1.1,1.1,0.64,0.69,39.20%,15.80%,11.40%,Apr 28/a,155,-0.16%,"1,037,895"
22,AKAM,15.43B,15.43,26.23,15.83,2.46,4.38,3.64,,7.60%,13.80%,11.10%,1.7,1.7,0.53,0.55,63.20%,22.00%,17.50%,May 03/a,97.51,-0.98%,"1,848,871"
23,ALB,25.83B,25.83,99.43,18.37,2.15,7.12,4.75,0.67%,2.60%,4.80%,9.50%,1.1,0.6,0.34,0.43,32.60%,26.50%,7.80%,May 04/a,236.44,-1.10%,"1,114,086"
24,ALGN,20.42B,20.42,30.98,22.02,0.72,5.06,5.91,,12.30%,19.90%,21.50%,1.3,1.2,0,0,73.60%,23.50%,17.50%,Apr 27/a,275.04,0.42%,"917,980"
25,ALK,5.62B,5.62,12.98,6.92,0.67,0.8,1.6,,3.30%,13.00%,8.20%,0.9,0.9,0.57,0.65,54.00%,9.10%,6.60%,Apr 21/b,46.1,-1.41%,"1,417,087"
26,ALL,33.66B,33.66,10.98,9.48,2.02,0.67,1.61,2.76%,3.00%,14.80%,16.50%,-,-,0.38,0.38,-,8.30%,7.00%,May 04/a,123.03,-2.19%,"2,062,126"
27,ALLE,9.44B,9.44,20.96,16.91,2.36,3.26,12.97,1.50%,15.30%,59.40%,22.20%,1.9,1.2,1.92,1.94,41.30%,17.80%,16.20%,Apr 26/b,109.08,0.25%,"696,043"
28,AMAT,89.76B,89.76,14.81,11.45,0.94,3.71,7.96,0.98%,26.20%,54.40%,33.90%,2.5,1.8,0.46,0,47.70%,31.40%,27.10%,May 19/a,106.46,-3.86%,"16,231,630"
29,AMCR,19.13B,19.13,20.79,15.16,2.71,1.36,4.3,3.71%,5.50%,20.60%,9.60%,1.4,0.8,1.59,1.6,19.70%,9.60%,6.70%,May 03/a,12.93,-0.23%,"16,415,644"
30,AMD,138.68B,138.68,34.88,18.72,1.06,7.35,2.35,,13.40%,17.60%,40.10%,2.4,2,0.03,0.03,48.50%,20.80%,18.00%,May 03/a,93.5,-3.28%,"163,679,429"
31,AME,26.96B,26.96,26.21,19.76,-,4.66,3.92,0.75%,8.80%,15.60%,11.40%,1.4,0.9,0.32,0.37,34.50%,23.60%,18.00%,May 03/b,117.36,0.56%,"1,021,940"
32,AMGN,132.93B,132.93,24.37,12.99,3.45,5.05,148.2,3.14%,9.30%,95.10%,17.10%,1.4,1.1,39.31,40.23,75.20%,30.40%,21.70%,Apr 27/a,247.5,1.12%,"3,848,258"
33,AMP,26.99B,26.99,9.83,8.58,0.37,1.96,5.81,1.95%,1.80%,55.80%,9.50%,-,-,0.9,5.34,51.10%,28.90%,22.40%,6-May,256.01,0.82%,"712,434"
34,AMT,108.03B,108.03,42.26,49.52,3.19,10.96,20.77,2.29%,4.10%,48.80%,5.90%,0.4,0.4,7.11,8.1,70.50%,30.60%,26.70%,Apr 27/b,244.28,4.73%,"2,834,298"
35,AMZN,1035.37B,1035.37,52.03,40.7,1.28,2.17,8.17,,5.40%,16.90%,9.50%,1,0.7,0.51,0.53,42.10%,4.10%,4.50%,Apr 28/a,2151.82,0.25%,"4,936,943"
36,ANET,29.61B,29.61,35.16,24.07,1.83,9.38,7.61,,16.60%,23.80%,21.00%,3.7,3.2,0,0,63.60%,31.60%,29.50%,May 02/a,102.64,1.52%,"2,697,167"
37,ANSS,20.73B,20.73,49.01,28.78,4.26,10.53,5.03,,7.50%,10.40%,8.60%,2.3,2.3,0.17,0.17,86.80%,27.70%,23.00%,May 04/a,252.15,1.67%,"458,401"
38,ANTM,118.35B,118.35,19.41,15.19,1.54,0.82,3.31,1.04%,6.40%,17.50%,11.70%,-,-,0.55,0.65,-,6.20%,4.30%,Apr 20/b,492.85,2.69%,"1,356,913"
39,AON,54.83B,54.83,41.73,17.87,2.94,4.44,54.28,0.85%,2.80%,30.60%,15.30%,1,1,7.8,8.91,-,14.80%,7.40%,Apr 29/b,262.71,-1.48%,"1,398,730"
40,AOS,8.87B,8.87,18.18,15.15,2.27,2.37,5.01,1.94%,15.30%,27.70%,24.00%,1.7,1.2,0.16,0.16,36.40%,17.50%,13.60%,Apr 28/b,57.77,-1.16%,"1,378,911"
41,APA,13.02B,13.02,5.94,4.76,0.23,1.48,,1.20%,18.80%,-268.80%,31.20%,1.2,1,-,-,68.60%,49.10%,28.10%,May 04/a,41.66,2.06%,"8,277,813"
42,APD,52.17B,52.17,24.31,20.5,2,4.58,3.78,2.73%,8.30%,16.40%,8.60%,1.9,1.8,0.48,0.53,28.10%,20.00%,19.60%,May 05/b,237.59,1.44%,"1,028,199"
43,APH,39.80B,39.8,25.72,22.43,2.62,3.48,6.37,1.17%,11.40%,27.70%,15.30%,2.5,1.7,0.76,0.77,31.40%,19.50%,14.70%,Apr 27/b,68.43,1.24%,"2,681,533"
44,APTV,23.64B,23.64,79.04,15.5,1.6,1.5,3.02,,1.70%,3.80%,7.60%,2.6,2,0.77,0.78,14.60%,5.50%,2.00%,May 05/b,93.58,-1.42%,"1,803,665"
45,ARE,25.37B,25.37,58.08,49.75,580.76,11.28,1.49,2.88%,-,-,1.60%,-,-,0.61,0.61,70.30%,-,-,Apr 25/a,159.71,1.20%,"1,594,811"
46,ATO,15.41B,15.41,20.9,18.85,2.68,4.02,1.7,2.44%,3.60%,8.80%,4.90%,1.1,1.1,0.64,0.89,63.20%,23.10%,18.90%,May 04/a,111.7,0.30%,"977,853"
47,ATVI,60.24B,60.24,24.52,19.54,2.41,7.26,3.39,0.61%,10.10%,14.40%,13.20%,5.5,5.5,0.2,0.2,73.30%,35.50%,29.80%,Apr 25/b,77.4,-0.44%,"4,862,787"
48,AVB,27.67B,27.67,25.05,43.71,9.86,11.74,2.55,3.16%,-,-,1.90%,-,-,0.73,0.73,63.20%,-,-,Apr 27/a,200.95,0.80%,"841,801"
49,AVGO,215.49B,215.49,30.94,14.05,2.1,7.56,9.74,3.02%,10.00%,31.30%,12.80%,2.4,2.2,1.71,1.72,63.00%,34.30%,26.40%,Jun 02/a,543.19,-0.55%,"4,008,831"
50,AVY,13.30B,13.3,18.84,15.41,2.64,1.53,7.01,1.82%,9.60%,39.60%,14.70%,1.1,0.7,1.44,1.69,27.10%,11.40%,8.40%,Apr 26/b,164.5,-1.98%,"694,141"
51,AWK,26.34B,26.34,20.57,30.18,2.48,6.78,3.55,1.80%,5.00%,18.20%,8.60%,0.5,0.5,1.39,1.44,-,50.50%,33.20%,Apr 27/a,145.57,0.36%,"2,019,815"
52,AXP,111.41B,111.41,15.35,13.59,0.35,2.45,5.18,1.36%,4.10%,32.90%,5.50%,-,-,1.71,5.87,67.90%,22.90%,17.10%,Apr 22/b,153.24,-0.49%,"2,969,129"
53,AZO,34.35B,34.35,16.02,14.45,1.14,2.2,,,16.80%,-109.20%,63.10%,0.8,0.1,-,-,52.50%,20.70%,15.40%,May 24/b,1771.68,-6.23%,"442,496"
54,BA,69.13B,69.13,,20.63,-,1.13,,,-3.40%,31.80%,-5.00%,1.3,0.3,-,-,3.20%,-6.50%,-8.00%,Apr 27/b,120.7,-5.07%,"18,768,159"
55,BAC,272.03B,272.03,9.65,8.64,0.63,5.53,1.15,2.48%,0.90%,12.00%,6.10%,-,-,1.13,2.16,-,95.60%,60.20%,Apr 18/b,33.86,-1.71%,"61,750,288"
56,BAX,36.68B,36.68,35.11,15.34,3,2.71,4.06,1.58%,4.00%,11.90%,5.50%,2.1,1.4,1.85,1.89,39.40%,10.50%,7.80%,May 25/b,73.23,0.87%,"1,690,225"
57,BBWI,8.78B,8.78,9.54,7.13,0.49,1.11,,2.07%,16.20%,-108.40%,43.90%,2.3,1.8,-,-,48.90%,23.00%,16.90%,May 18/a,38.69,-3.35%,"12,534,466"
58,BBY,16.47B,16.47,7.35,6.89,0.93,0.32,5.69,4.86%,13.30%,62.20%,58.00%,1,0.4,0.4,0.41,22.50%,5.90%,4.70%,May 24/b,72.36,-1.31%,"4,841,488"
59,BDX,72.29B,72.29,39.78,20.63,12.43,3.61,2.93,1.38%,3.40%,7.60%,6.00%,1.5,1,0.72,0.76,45.80%,12.20%,9.10%,May 05/b,252.3,0.46%,"906,782"
60,BEN,12.61B,12.61,6.92,7.39,-,1.46,1.1,4.50%,7.40%,16.20%,8.30%,-,-,0.74,0,-,23.40%,21.10%,May 03/b,25.8,2.75%,"3,299,610"
61,BF-B,28.85B,28.85,37.47,33.25,5.35,7.7,11.96,1.20%,12.40%,29.90%,18.90%,3.5,1.8,0.82,0.92,60.40%,30.00%,21.50%,Mar 03/b,62.91,1.60%,"1,447,071"
62,BIIB,28.54B,28.54,20.46,12.42,-,2.64,2.61,,6.10%,13.40%,15.30%,2,1.7,0.56,0.65,78.00%,22.90%,13.40%,May 03/b,199.65,3.40%,"968,464"
63,BIO,15.15B,15.15,,33.51,-,5.23,1.54,,-0.60%,-0.80%,-5.10%,5.1,4.2,0.12,0.12,56.80%,18.40%,-3.50%,Apr 28/a,522.2,-0.21%,"217,050"
64,BK,34.83B,34.83,10.85,8.25,1.41,12.07,0.96,3.11%,0.70%,8.80%,3.00%,-,-,0.69,0.69,-,97.30%,-,Apr 18/b,43.77,1.04%,"4,996,397"
65,BKNG,83.96B,83.96,171.12,16.09,3.28,6.71,19.8,,2.20%,10.00%,11.40%,1.7,1.7,1.93,2.23,-,21.90%,4.20%,May 04/a,2115.9,0.59%,"428,210"
66,BKR,33.14B,33.14,105.66,19.68,2.08,1.61,1.99,2.08%,0.90%,1.80%,2.90%,1.6,1.2,0.41,0.41,20.20%,6.90%,1.50%,Apr 20/b,34.55,-1.20%,"8,992,787"
67,BLK,88.76B,88.76,15.09,13.56,2.05,4.51,2.43,3.25%,3.80%,16.60%,12.10%,-,-,0.2,0,81.70%,39.00%,31.20%,Apr 13/b,600.44,1.24%,"1,192,150"
68,BLL,22.51B,22.51,28.62,17.07,1.83,1.7,6.09,1.15%,-,-,-,-,-,-,-,-,-,-,May 05/b,69.49,0.00%,0
69,BMY,163.28B,163.28,27.06,9.36,6.1,3.48,5.18,2.84%,5.80%,17.70%,9.40%,1.3,1.2,1.19,1.42,79.60%,19.00%,13.30%,Apr 29/b,76.19,0.30%,"16,791,566"
70,BR,15.95B,15.95,29.82,19.68,2.53,2.89,8.91,1.84%,6.80%,30.90%,9.30%,1.3,1.3,2.29,0,27.70%,12.70%,10.00%,May 03/b,138.98,0.70%,"381,873"
71,BRK-B,738.84B,738.84,,23.83,-,2.75,0,,-,-,-,-,-,-,-,-,-,-,May 02/b,304.05,-0.03%,"5,505,259"
72,BRO,15.03B,15.03,25.51,21.21,1.93,4.79,3.51,0.75%,-,-,10.30%,1.8,1.8,0.81,0.82,-,-,-,Apr 25/a,55,0.53%,"5,441,914"
73,BSX,54.84B,54.84,74.7,19.48,7.27,4.51,3.35,,2.40%,4.60%,4.50%,1.2,0.8,0.54,0.56,68.60%,10.60%,6.20%,Apr 27/b,39.22,-0.68%,"12,397,590"
74,BWA,8.73B,8.73,13.6,7.4,0.72,0.59,1.29,1.78%,4.00%,9.80%,8.90%,1.7,1.3,0.6,0.61,19.00%,7.50%,4.60%,May 04/b,38.15,-1.83%,"1,972,307"
75,BXP,16.25B,16.25,30.09,29.64,4.3,5.55,2.82,3.73%,-,-,4.90%,-,-,2.27,2.27,63.70%,-,-,May 02/a,105.23,0.14%,"1,100,402"
76,C,94.42B,94.42,5.87,6.88,-,1.85,0.55,4.10%,0.70%,9.40%,9.30%,-,-,1.42,0,-,87.20%,33.60%,Apr 14/b,49.75,-0.06%,"28,890,409"
77,CAG,15.13B,15.13,14.73,12.54,17.03,1.33,1.74,3.94%,4.60%,12.00%,9.30%,0.8,0.3,0.92,1.04,25.20%,13.10%,9.10%,Apr 07/b,31.72,-0.06%,"6,180,264"
78,CAH,15.03B,15.03,,9.99,-,0.08,,3.55%,-2.20%,-109.60%,9.30%,1.1,0.5,-,-,3.60%,-0.30%,-0.50%,May 05/b,55.8,-0.05%,"2,252,542"
79,CARR,31.33B,31.33,12.59,14.66,1.05,1.52,4.56,1.58%,10.40%,38.60%,11.80%,1.7,1.3,1.17,1.21,28.70%,18.50%,12.90%,Apr 28/b,37.96,1.47%,"5,520,799"
80,CAT,104.84B,104.84,16.69,13.68,0.67,1.99,6.2,2.24%,7.90%,38.80%,9.40%,1.4,0.9,1.48,2.2,29.80%,13.10%,12.30%,Apr 28/b,197.82,-4.32%,"5,387,151"
81,CB,85.98B,85.98,10.86,12,0.78,2.11,1.53,1.57%,4.10%,13.90%,8.70%,-,-,0.26,0.29,-,19.20%,20.20%,Apr 26/a,204,0.06%,"1,933,003"
82,CBOE,11.12B,11.12,22.9,16.55,5.01,3.21,3.2,1.80%,6.70%,14.20%,11.70%,1.3,1.3,0.45,0,44.20%,24.20%,14.40%,Apr 29/b,106.94,1.31%,"626,432"
83,CBRE,25.02B,25.02,13.65,11.75,1.24,0.86,3.14,,9.60%,24.10%,9.30%,1.2,1.2,0.19,0.36,22.40%,6.00%,6.70%,May 05/b,78.97,-1.18%,"2,396,900"
84,CCI,76.91B,76.91,54.24,43.72,4.17,11.66,9.82,3.23%,3.70%,17.40%,6.40%,0.7,0.7,2.62,2.63,69.10%,32.50%,22.10%,Apr 20/a,182.2,2.14%,"1,497,586"
85,CCL,13.78B,13.78,,9.01,-,3.93,1.45,,-17.50%,-68.30%,-17.10%,0.7,0.7,2.9,3.38,-9.20%,-,-,Mar 22/b,13.13,-3.31%,"45,307,253"
86,CDAY,7.96B,7.96,,83.73,-,7.35,4.02,,-1.00%,-3.80%,-2.20%,1,1,0.57,0.57,36.20%,-9.40%,-7.70%,May 04/a,56.6,1.71%,"1,617,681"
87,CDNS,38.55B,38.55,54.74,33.08,3.22,12.22,14.47,,17.40%,28.00%,22.90%,1.8,1.7,0.13,0,89.80%,28.30%,23.60%,Apr 25/a,146.6,1.93%,"2,906,977"
88,CDW,21.32B,21.32,22.13,15.22,1.69,0.97,24.2,1.25%,9.00%,115.50%,15.10%,1.3,1.1,7.29,7.39,17.70%,6.90%,4.60%,May 04/b,160.2,-1.08%,"745,114"
89,CE,15.92B,15.92,7.98,8.91,-,1.72,3.54,1.80%,17.50%,50.10%,19.80%,1.6,1,0.68,0.87,31.70%,23.20%,22.30%,Apr 28/a,150.73,0.47%,"996,527"
90,CEG,18.12B,18.12,,13.59,-,0.92,1.67,1.00%,-,-,-2.90%,1.4,1.2,0.41,0.52,38.10%,-,-,May 12/b,56.65,-1.01%,"2,259,846"
91,CERN,27.62B,27.62,47.32,22.89,3.56,4.76,7.05,1.15%,7.80%,15.30%,10.20%,1.8,1.8,0.41,0.41,82.50%,12.80%,10.20%,May 03/b,93.93,0.01%,"2,213,967"
92,CF,18.98B,18.98,12.36,7.94,-,2.27,4.99,1.67%,13.20%,49.30%,21.10%,1.7,1.5,0.74,0.87,45.40%,37.20%,19.70%,May 04/a,95.79,-4.54%,"3,352,674"
93,CFG,18.63B,18.63,8,7.23,-,3.84,0.79,4.13%,1.10%,9.60%,15.00%,-,-,0.25,0.29,-,99.20%,41.50%,Apr 19/b,37.75,0.13%,"5,526,557"
94,CHD,21.44B,21.44,27.22,25.94,3.66,4.09,6.33,1.18%,10.60%,24.00%,15.10%,0.7,0.3,0.47,0.71,43.20%,20.10%,15.50%,Apr 28/b,88.75,0.60%,"1,663,176"
95,CHRW,13.21B,13.21,14.38,16.3,1.99,0.53,6.35,2.16%,13.90%,47.20%,22.30%,1.5,1.5,0.76,1.06,13.40%,4.80%,3.70%,Apr 27/a,101.92,0.72%,"1,530,935"
96,CHTR,90.54B,90.54,17.35,13.32,0.56,1.73,6.78,,3.50%,32.30%,8.80%,0.4,0.4,7.52,7.9,45.10%,21.20%,9.60%,Apr 29/b,479.03,0.94%,"1,285,412"
97,CI,82.60B,82.6,16.09,10.29,1.43,0.47,1.79,1.73%,3.50%,11.40%,8.20%,-,-,0.67,0.72,-,4.50%,3.00%,May 06/b,259.49,1.02%,"1,619,647"
98,CINF,19.34B,19.34,9.68,21,0.67,2.24,1.62,2.26%,6.80%,16.80%,21.40%,-,-,0.07,0.07,-,30.10%,23.80%,Apr 28/a,121.98,-0.56%,"809,977"
99,CL,62.27B,62.27,31.12,22.36,7.57,3.56,197.71,2.50%,13.10%,411.90%,32.90%,1.1,0.7,23.64,23.7,59.00%,18.20%,11.70%,May 18/b,75.13,0.01%,"6,920,983"
100,CLX,16.89B,16.89,37.5,25.08,-,2.38,42.55,3.36%,7.30%,122.80%,22.40%,0.7,0.4,4.72,7.21,35.80%,8.10%,6.40%,May 02/a,138.3,0.11%,"1,656,435"
101,CMA,9.53B,9.53,10.08,7.91,-,4.99,1.44,3.72%,1.10%,13.50%,18.50%,-,-,0.4,0.4,-,-,51.20%,Apr 20/b,73.08,0.38%,"1,649,531"
